ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
107764,73692,1894,10267,860,193703,14,47.89,193654,49,1685,9078,95466,45189,30010,7958,4113,0,193499
23410,6973,19,1603,510,32056,5,21.27,32056,0,1110,4061,13220,4867,6996,977,824,0,32055
33844,9626,20,280,340,43552,6,22.74,43551,1,345,5364,26566,7721,3507,44,3,0,43550
10808,50495,8272,10569,1927,82071,23,71.05,81675,396,310,8729,66053,1227,792,391,81,3503,81086
16912,34984,14,2530,310,52194,14,51.57,52177,17,9,1488,40777,4083,5813,22,3,0,52195
152896,16114,3015,6206,192,180151,9,33.33,178661,1490,26,1656,177646,438,278,29,81,0,180154
56271,47470,95,50,540,103895,8,31.14,103895,0,1053,3900,41723,23131,22262,9091,2735,0,103895
46739,54119,1017,12404,2692,116971,18,61.24,114965,2006,1396,2372,68036,1325,22781,7528,6300,6105,115843
68690,30451,1250,4259,5114,109764,15,49.38,108702,1062,409,5598,81078,485,12502,3447,2440,3719,109678
80705,50446,127,1580,1376,132812,10,39.8,132811,1,636,4275,73284,32842,18968,3559,84,0,133648
54079,451,812,2246,1036,58624,8,30.3,57965,659,22,1062,57525,9,0,2,2,0,58622
11104,1119,335,170,2329,14904,3,10.59,14604,300,59,101,12822,8,0,1,7,1902,14900
18614,1668,582,4638,395,29452,9,28.91,29018,434,68,78,29073,655,100,1,3,0,29978
341680,293831,10602,10965,15382,672460,19,61.71,672137,323,3109,34132,309998,108939,151329,30736,19602,14119,671964
27313,40407,19,1025,800,68844,7,29.13,68842,2,41,3091,43544,18773,3359,32,2,0,68842
19372,6906,530,10,2045,28854,18,59.89,28346,508,6,310,31334,2,0,0,0,0,31652
156583,5223,105,1020,3190,162332,10,39.9,162298,34,105,8164,78750,45241,24318,1303,4367,0,162248
1452061,1793884,133928,64379,31194,3475446,20,62.63,3464882,10564,1514,74766,1445752,292732,886678,480237,184203,105818,3471700
349995,968483,35535,3164,9393,1366570,45,106.24,1359882,6688,89,10039,292566,222737,487826,227953,127384,0,1368594
27300,4415,15,10,2214,33945,8,32.79,33934,11,34,2896,14770,6145,3539,41,4,6500,33929
54879,40157,383,3880,113,96937,8,30.83,96925,12,70,3261,32516,24488,23296,8219,3897,1035,96782
56375,19591,1194,1407,6729,97959,16,53.72,95532,2427,67,4314,83161,5358,4,5,9,5010,97928
56937,35225,888,1334,330,94417,9,32.66,94406,11,11,5005,37152,24038,19068,5890,3256,0,94420
