Provincia,Partido,Localidad,ADSL,CableModem,Dial Up,Fibra Optica,Otras conexiones,Satelital,WIMAX,Wireless,Total general,Poblacion,Telefonia Fija,Latitud,Longitud
CHACO,Bermejo,General Vedia,153,0,0,30,0,1,0,205,389,1751,SI,-26.9349378591637,-58.6612848328678
CHACO,Bermejo,Isla del Cerrito,0,0,0,0,0,1,0,0,1,1758,SI,-27.2927852739485,-58.6178377359072
CHACO,Bermejo,La Leonesa,556,0,0,0,0,0,0,228,784,8823,SI,-27.0379596283785,-58.7069377183708
CHACO,Bermejo,Las Palmas,0,0,0,46,0,1,0,306,353,4914,--,-27.0478975207771,-58.6795739267563
CHACO,Bermejo,Puerto Bermejo Nuevo,0,0,0,14,0,0,0,51,65,1733,SI,-26.9073753724695,-58.5428316633796
CHACO,Bermejo,Puerto Eva Perón,0,0,0,15,0,1,0,41,57,609,--,-26.661480092829,-58.6355818176747
CHACO,Chacabuco,Charata,1924,0,0,1186,0,2,0,230,3342,26497,SI,-27.2200458502784,-61.1915854495204
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,3559,112,0,5972,24,2,0,116,9785,89882,SI,-26.7916058929378,-60.4421462814095
CHACO,General Belgrano,Corzuela,161,0,0,48,0,1,0,28,238,10335,SI,-26.9556760087163,-60.9707574059512
CHACO,General Donovan,La Escondida,51,209,0,189,0,2,0,0,451,3261,SI,-27.1073248470025,-59.4475325100431
CHACO,General Donovan,La Verde,14,27,0,39,305,2,0,0,387,2717,SI,-27.1297934337807,-59.3774619894492
CHACO,General Donovan,Lapachito,1,27,0,61,0,0,0,0,89,888,SI,-27.1587903465778,-59.3903975007013
CHACO,General Donovan,Makallé,38,370,0,0,0,1,0,0,409,4322,SI,-27.211618544441,-59.2883662132688
CHACO,General Güemes,El Espinillo,0,0,0,0,0,1,0,0,1,1261,--,-25.4176698636006,-60.4139677023547
CHACO,General Güemes,El Sauzal,0,0,0,0,0,1,0,62,63,715,--,-24.579149375301,-61.5461702165927
CHACO,General Güemes,El Sauzalito,0,0,0,0,0,1,0,0,1,3374,SI,-24.4345499393074,-61.6813716975806
CHACO,General Güemes,Fortín Lavalle,0,0,0,0,0,0,0,36,36,687,--,-25.7056308542578,-60.2037478681132
CHACO,General Güemes,Fuerte Esperanza,0,0,0,8,0,1,0,0,9,1376,--,-25.1560600566745,-61.8424104268078
CHACO,General Güemes,Juan José Castelli,599,0,0,294,0,0,0,690,1583,27201,SI,-25.9504150377594,-60.6243211030425
CHACO,General Güemes,Miraflores,0,0,0,0,0,0,0,630,630,4737,--,-25.6489334968628,-60.9300401901344
CHACO,General Güemes,Nueva Pompeya,0,0,0,1,0,3,0,308,312,2259,--,-24.9334418837191,-61.4846998398146
CHACO,General Güemes,Villa Río Bermejito,4,0,0,194,0,2,0,222,422,3752,SI,-25.6424413894079,-60.2629438807651
CHACO,General Güemes,Wichi,0,0,0,0,0,1,0,91,92,773,--,-24.6913977720534,-61.4304454802334
CHACO,Independencia,Avia Terai,85,0,0,42,0,1,0,0,128,6203,SI,-26.6904269113097,-60.7309487066584
CHACO,Independencia,Campo Largo,125,0,0,482,3,0,0,0,610,9069,SI,-26.8038644067827,-60.8423032131182
CHACO,Libertad,Laguna Blanca,0,0,0,0,0,2,0,0,2,547,SI,-27.2572195505018,-59.2340486127892
CHACO,Libertad,Puerto Tirol,541,1,0,114,0,0,0,163,819,8819,SI,-27.3745125614532,-59.0953159917862
CHACO,Libertador General San Martín,Ciervo Petiso,0,0,0,0,0,1,0,97,98,786,--,-26.5815849580294,-59.6329803967089
CHACO,Libertador General San Martín,General José de San Martín,511,1130,0,5083,0,0,0,450,7174,28124,SI,-26.5340730622708,-59.334711358946
CHACO,Libertador General San Martín,La Eduvigis,0,0,0,0,0,1,0,0,1,392,--,-26.8374120457599,-59.0641175796047
